module,question,answer,notes
RW1,1,C,
RW1,2,B,
RW1,3,A,
RW1,4,B,
RW1,5,D,
RW1,6,C,
RW1,7,C,
RW1,8,A,
RW1,9,A,
RW1,10,C,
RW1,11,A,
RW1,12,A,
RW1,13,C,
RW1,14,B,
RW1,15,C,
RW1,16,B,
RW1,17,A,
RW1,18,C,
RW1,19,C,
RW1,20,D,
RW1,21,B,
RW1,22,B,
RW1,23,A,
RW1,24,D,
RW1,25,C,
RW1,26,A,
RW1,27,D,
RW2,1,D,
Rw2,2,D,
RW2,3,D,
RW2,4,A,
RW2,5,B,
RW2,6,D,
RW2,7,B,
RW2,8,C,
RW2,9,D,
RW2,10,B,
RW2,11,A,
RW2,12,B,
RW2,13,B,
RW2,14,C,
RW2,15,B,
RW2,16,A,
RW2,17,A,
RW2,18,B,
RW2,19,C,
RW2,20,D,
RW2,21,A,
RW2,22,C,
RW2,23,D,
RW2,24,D,
RW2,25,A,
RW2,26,C,
RW2,27,A,
MATH1,1,44,
MATH1,2,D,
MATH1,3,A,
MATH1,4,6,
MATH1,5,B,
MATH1,6,B,
MATH1,7,D,
MATH1,8,B,
MATH1,9,6,
MATH1,10,A,
MATH1,11,D,
MATH1,12,455,
MATH1,13,C,
MATH1,14,D,
MATH1,15,0,
MATH1,16,5,
MATH1,17,C,
MATH1,18,A,
MATH1,19,B,
MATH1,20,C,
MATH1,21,D,
MATH1,22,C,
MATH2,1,78,
MATH2,2,B,
MATH2,3,C,
MATH2,4,A,
MATH2,5,A,
MATH2,6,B,
MATH2,7,32,
MATH2,8,"35/12, 2.912, 2917",
MATH2,9,A,
MATH2,10,175,
MATH2,11,B,
MATH2,12,B,
MATH2,13,D,
MATH2,14,C,
MATH2,15,A,
MATH2,16,C,
MATH2,17,D,
MATH2,18,312,
MATH2,19,B,
MATH2,20,D,
MATH2,21,26,
MATH2,22,B,
